ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
2534,6.9,0.32,0.26,Low,0.03,11.0,103.0,0.99-1.00,Acidic,0.42,11%,6.0
2535,5.7,0.255,0.65,Low,0.079,17.0,137.0,0.99-1.00,Acidic,0.42,9%,5.0
2536,6.6,0.41,0.16,Low,0.037,28.0,160.0,0.99-1.00,Highly Acidic,0.45,10%,6.0
2537,7.3,0.37,0.16,High,0.048,59.0,240.0,0.99-1.00,Acidic,0.45,8%,5.0
2538,6.9,0.21,0.24,Low,0.021,17.0,80.0,<0.99,Acidic,0.46,12%,7.0
2539,6.6,0.24,0.28,Low,0.028,38.3,132.0,0.99-1.00,Acidic,0.46,11%,5.0
2540,6.8,0.28,0.36,Moderate,0.043,60.0,207.0,0.99-1.00,Acidic,0.49,9%,6.0
2541,6.6,0.24,0.24,Moderate,0.034,25.0,137.4,0.99-1.00,Acidic,0.59,10%,6.0
2542,6.6,0.24,0.28,Low,0.028,39.0,132.0,0.99-1.00,Acidic,0.46,11%,
2543,7.0,0.16,0.32,Low,0.032,29.0,80.0,<0.99,Acidic,0.36,12%,6.0
2544,7.0,0.14,0.28,Low,0.026,10.3,56.0,0.99-1.00,Acidic,0.45,9%,5.0
2545,6.3,0.34,0.36,,0.035,31.0,185.0,0.99-1.00,Acidic,0.49,9%,5.0
2546,6.8,0.26,0.24,Low,0.043,70.0,154.0,0.99-1.00,Acidic,0.52,10%,5.0
2547,6.7,0.17,0.42,Moderate,0.039,85.0,182.0,0.99-1.00,Acidic,0.44,8%,6.0
2548,6.5,0.27,0.4,Moderate,0.039,74.0,227.0,0.99-1.00,Acidic,0.5,9%,5.0
2549,6.7,0.25,0.36,Moderate,0.037,63.0,206.0,0.99-1.00,Acidic,0.5,9%,5.0
2550,5.8,0.3,0.27,Low,0.014,45.0,104.0,<0.99,Acidic,0.56,12%,7.0
2551,6.4,0.28,0.56,Low,0.156,49.0,105.9,0.99-1.00,Acidic,0.37,9%,6.0
2552,7.7,0.3,0.26,High,0.053,36.0,174.0,0.99-1.00,Acidic,0.5,10%,5.0
2553,6.8,0.18,0.3,Moderate,0.062,19.8,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2554,6.8,0.18,0.3,Moderate,0.065,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2555,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2556,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2557,6.8,0.18,0.3,Moderate,0.059,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2558,6.8,0.18,0.3,Moderate,0.062,18.7,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2559,5.1,0.14,0.25,Low,0.038,15.0,89.0,0.99-1.00,Acidic,0.43,9%,6.0
2560,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7.0
2561,7.2,0.615,0.1,Low,0.068,25.0,154.0,0.99-1.00,Acidic,0.48,9%,4.0
2562,6.9,0.13,0.28,,0.05,47.0,132.0,0.99-1.00,Acidic,0.42,10%,6.0
2563,6.7,0.34,0.3,Moderate,0.059,24.0,152.0,0.99-1.00,Acidic,0.64,11%,7.0
2564,7.3,0.32,0.29,,0.038,33.0,144.0,0.99-1.00,Acidic,0.55,10%,5.0
2565,6.3,0.21,0.29,Moderate,0.048,49.0,147.0,0.99-1.00,Acidic,0.38,10%,5.0
2566,5.4,0.5,0.13,Low,0.028,12.0,107.0,0.99-1.00,Acidic,0.88,13%,7.0
2567,8.2,0.52,0.34,Low,0.042,18.0,167.0,0.99-1.00,Acidic,0.39,10%,5.0
2568,7.8,0.28,0.31,Low,0.046,28.0,208.0,0.99-1.00,Acidic,0.64,9%,5.0
2569,6.4,0.22,0.34,Low,0.023,56.0,115.0,<0.99,Acidic,0.7,11%,6.0
2570,7.8,0.28,0.31,Low,0.046,28.0,208.0,0.99-1.00,Acidic,0.64,9%,5.0
2571,6.9,0.32,0.27,High,0.034,58.0,185.0,0.99-1.00,Acidic,0.6,9%,6.0
2572,6.8,0.11,0.42,Low,0.042,51.0,132.0,0.99-1.00,Acidic,0.74,11%,7.0
2573,6.2,0.26,0.32,High,0.031,64.0,185.0,0.99-1.00,Acidic,0.61,9%,5.0
2574,6.4,0.22,0.34,Low,0.023,56.0,115.0,<0.99,Acidic,0.7,11%,6.0
2575,6.7,0.3,0.29,Low,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7.0
2576,6.7,0.3,0.29,,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7.0
2577,7.1,0.2,0.3,Low,0.019,4.0,28.0,<0.99,Acidic,0.36,12%,6.0
2578,7.2,0.2,0.36,Low,0.028,22.0,157.0,0.99-1.00,Acidic,0.49,10%,6.0
2579,8.9,0.26,0.33,Moderate,0.024,47.0,202.0,0.99-1.00,Acidic,0.46,10%,6.0
2580,7.5,0.25,0.32,Moderate,0.024,53.0,209.0,0.99-1.00,Acidic,0.46,10%,6.0
2581,7.1,0.2,0.3,Low,0.019,4.0,28.0,<0.99,Acidic,0.36,12%,6.0
2582,6.3,0.27,0.46,Moderate,0.053,43.0,177.0,0.99-1.00,Acidic,0.67,9%,5.0
2583,6.5,0.3,0.39,Moderate,0.038,61.0,219.0,0.99-1.00,Acidic,0.5,9%,5.0
2584,6.7,0.3,0.29,Low,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7.0
2585,6.6,0.36,0.52,Moderate,0.05,29.0,140.0,0.99-1.00,Acidic,0.4,9%,5.0
2586,6.15,0.21,0.37,Low,0.021,20.0,80.0,0.99-1.00,Acidic,0.47,12%,5.0
2587,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7.0
2588,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7.0
2589,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,
2590,6.6,0.26,0.21,Low,0.026,48.0,126.0,0.99-1.00,Acidic,0.38,11%,7.0
2591,6.6,0.35,0.35,Low,0.063,31.0,150.0,0.99-1.00,Acidic,0.47,9%,6.0
2592,6.5,0.28,0.28,High,0.041,40.0,144.0,>1.00,Acidic,0.38,8%,5.0
2593,6.6,0.36,0.52,,0.05,29.0,140.0,0.99-1.00,Acidic,0.4,9%,
2594,6.6,0.26,0.21,Low,0.026,48.0,126.0,0.99-1.00,Acidic,0.38,11%,7.0
2595,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7.0
2596,6.15,0.21,0.37,Low,0.021,20.0,80.0,0.99-1.00,Acidic,0.47,12%,5.0
2597,4.5,0.19,0.21,Low,0.033,89.0,159.0,0.99-1.00,Acidic,0.42,8%,5.0
2598,8.0,0.24,0.26,Low,0.033,36.0,136.0,0.99-1.00,Acidic,0.51,10%,7.0
2599,7.8,0.17,0.23,Low,0.029,39.0,128.0,0.99-1.00,Acidic,0.41,10%,7.0
2600,7.0,0.24,0.24,,0.03,42.0,219.0,0.99-1.00,Acidic,0.46,10%,6.0
2601,5.8,0.6,0.0,Low,0.044,72.0,197.0,0.99-1.00,Acidic,0.43,10%,5.0
2602,5.9,0.445,0.26,Low,0.027,23.0,109.0,0.99-1.00,Acidic,0.36,10%,6.0
2603,6.7,0.28,0.28,Low,0.012,36.0,100.0,0.99-1.00,Acidic,0.39,11%,7.0
2604,6.8,0.44,0.2,High,0.065,61.0,186.0,0.99-1.00,Acidic,0.45,8%,5.0
2605,7.2,0.24,0.27,Moderate,0.034,40.0,174.0,0.99-1.00,Acidic,0.44,9%,5.0
2606,8.7,0.31,0.73,High,0.044,27.0,197.8,>1.00,Highly Acidic,0.88,8%,5.0
2607,8.2,0.32,0.26,Low,0.062,26.0,87.0,<0.99,Acidic,0.47,12%,6.0
2608,7.2,0.24,0.27,Moderate,0.034,40.0,174.0,0.99-1.00,Acidic,0.44,9%,5.0
2609,8.7,0.31,0.73,High,0.044,27.0,191.0,>1.00,Highly Acidic,0.88,8%,5.0
2610,7.5,0.13,0.38,Low,0.023,42.0,104.0,0.99-1.00,Acidic,0.53,11%,6.0
2611,9.2,0.14,0.37,Low,0.034,36.0,84.0,0.99-1.00,Acidic,0.55,11%,6.0
2612,7.4,0.2,0.37,Low,0.028,28.0,89.0,0.99-1.00,Acidic,0.61,11%,6.0
2613,6.1,0.15,0.35,High,0.042,55.0,158.0,0.99-1.00,Acidic,0.37,10%,5.0
2614,7.6,0.23,0.4,Low,0.066,14.0,91.0,0.99-1.00,Acidic,0.8,9%,5.0
2615,8.1,0.33,0.22,Low,0.047,24.0,151.0,0.99-1.00,Acidic,0.47,10%,5.0
2616,7.15,0.17,0.24,Moderate,0.119,56.0,178.0,0.99-1.00,Acidic,0.44,10%,6.0
2617,6.7,0.12,0.3,Low,0.048,38.0,113.0,0.99-1.00,Acidic,0.44,10%,7.0
2618,5.7,0.18,0.36,Low,0.046,9.0,71.0,0.99-1.00,Acidic,0.68,10%,7.0
2619,5.8,0.15,0.28,Low,0.037,43.0,127.0,0.99-1.00,Acidic,0.51,9%,5.0
2620,6.6,0.23,0.29,High,0.057,29.0,144.0,0.99-1.00,Acidic,0.54,10%,6.0
2621,7.15,0.17,0.24,Moderate,0.119,56.0,178.0,0.99-1.00,Neutral,0.44,10%,6.0
2622,7.0,0.34,0.39,Low,0.066,43.0,162.0,0.99-1.00,Acidic,0.53,9%,
2623,6.4,0.68,0.26,Low,0.069,25.0,146.0,0.99-1.00,Acidic,0.4,9%,5.0
2624,7.3,0.22,0.31,Low,0.018,45.0,80.0,<0.99,Acidic,0.34,12%,7.0
2625,6.4,0.28,0.27,Moderate,0.042,45.0,148.0,0.99-1.00,Acidic,0.46,8%,5.0
2626,6.9,0.4,0.22,Low,0.081,76.0,303.0,0.99-1.00,Acidic,0.57,9%,5.0
2627,6.8,0.19,0.23,Low,0.034,71.0,204.0,0.99-1.00,Acidic,0.69,10%,5.0
2628,7.1,0.23,0.24,Low,0.039,60.0,196.0,0.99-1.00,Acidic,0.78,10%,4.0
2629,6.45,0.14,0.42,Low,0.05,51.0,129.0,0.99-1.00,Acidic,0.69,11%,7.0
2630,6.5,0.15,0.44,Moderate,0.052,65.0,158.0,0.99-1.00,Acidic,0.7,10%,7.0
2631,7.1,0.15,0.34,Low,0.033,27.0,73.0,<0.99,Acidic,0.41,12%,6.0
2632,6.7,0.33,0.34,Low,0.067,35.0,156.0,0.99-1.00,Acidic,0.48,9%,6.0
2633,7.2,0.3,0.26,Low,0.041,46.0,178.0,0.99-1.00,Acidic,0.56,11%,6.0
2634,7.0,0.23,0.33,Low,0.043,46.0,110.0,0.99-1.00,Acidic,0.65,10%,6.0
2635,8.0,0.13,0.25,Low,0.033,15.0,86.0,0.99-1.00,Highly Acidic,0.39,11%,
2636,6.2,0.21,0.34,Low,0.03,36.0,91.0,0.99-1.00,Acidic,0.45,12%,7.0
2637,8.3,0.4,0.41,Moderate,0.05,15.0,122.0,0.99-1.00,Acidic,0.49,9%,5.0
2638,5.9,0.34,0.31,Low,0.03,38.0,142.0,<0.99,Acidic,0.41,12%,7.0
2639,6.6,0.12,0.25,Low,0.039,21.0,131.0,0.99-1.00,Acidic,0.45,11%,7.0
2640,9.6,0.655,0.21,Low,0.039,21.0,120.0,0.99-1.00,Acidic,1.0,12%,6.0
2641,6.8,0.26,0.4,Moderate,0.046,44.9,179.0,0.99-1.00,Acidic,0.49,9%,5.0
2642,5.9,0.34,0.31,Low,0.03,38.0,142.0,<0.99,Acidic,0.41,12%,7.0
2643,5.9,0.3,0.3,Low,0.03,38.0,142.0,<0.99,Acidic,0.41,12%,7.0
2644,7.0,0.15,0.3,High,0.049,46.0,120.0,0.99-1.00,Acidic,0.36,9%,7.0
2645,7.9,0.37,0.31,,0.037,5.0,24.0,0.99-1.00,Acidic,0.36,11%,6.0
2646,7.2,0.35,0.25,Low,0.032,23.0,120.0,0.99-1.00,Highly Acidic,0.66,10%,7.0
2647,7.2,0.32,0.24,Low,0.033,23.0,120.0,0.99-1.00,Highly Acidic,0.66,10%,7.0
2648,7.6,0.1,0.33,Low,0.031,33.0,93.0,0.99-1.00,Acidic,0.68,11%,6.0
2649,6.2,0.25,0.31,,0.03,32.0,150.0,0.99-1.00,Acidic,0.31,12%,6.0
2650,7.1,0.31,0.17,Low,0.042,20.7,144.0,0.99-1.00,Acidic,0.4,9%,5.0
2651,7.6,0.18,0.28,Moderate,0.041,29.0,110.0,0.99-1.00,Acidic,0.42,9%,6.0
2652,8.0,0.17,0.29,Low,0.029,53.1,119.0,<0.99,Acidic,0.33,12%,6.0
2653,7.2,0.19,0.27,Moderate,0.061,46.0,149.0,0.99-1.00,Highly Acidic,0.59,9%,6.0
2654,7.6,0.32,0.25,Moderate,0.03,15.0,136.0,0.99-1.00,Acidic,0.44,12%,6.0
2655,7.1,0.31,0.17,Low,0.042,21.0,144.0,0.99-1.00,Acidic,0.4,9%,5.0
2656,6.6,0.21,0.29,Low,0.026,35.0,128.0,0.99-1.00,Acidic,0.48,11%,6.0
2657,7.0,0.16,0.36,,0.029,28.0,98.0,0.99-1.00,Acidic,0.37,11%,7.0
2658,8.0,0.17,0.29,Low,0.029,52.0,119.0,<0.99,Acidic,0.33,12%,6.0
2659,6.6,0.24,0.38,Moderate,0.042,56.0,187.0,0.99-1.00,Acidic,0.46,9%,5.0
2660,7.2,0.19,0.27,Moderate,0.061,46.0,149.0,0.99-1.00,Highly Acidic,0.59,9%,6.0
2661,7.6,0.18,0.28,,0.041,29.0,110.0,0.99-1.00,Acidic,0.42,9%,6.0
2662,6.9,0.3,0.25,Low,0.041,26.0,124.0,0.99-1.00,Acidic,0.5,9%,6.0
2663,6.2,0.28,0.27,Moderate,0.03,26.0,107.6,0.99-1.00,Acidic,0.36,10%,6.0
2664,6.9,0.31,0.32,Low,0.024,19.3,166.0,0.99-1.00,Acidic,0.54,9%,6.0
2665,6.7,0.23,0.25,Low,0.036,28.0,143.0,0.99-1.00,Acidic,0.54,10%,6.0
2666,6.2,0.28,0.27,Moderate,0.03,26.0,108.0,0.99-1.00,Acidic,0.36,10%,
2667,5.7,0.23,0.28,Moderate,0.025,26.9,121.0,0.99-1.00,Acidic,0.38,11%,6.0
2668,6.5,0.22,0.5,High,0.048,36.0,182.0,0.99-1.00,Acidic,0.49,8%,6.0
2669,7.0,0.18,0.37,Low,0.043,16.0,104.0,0.99-1.00,Acidic,0.5,10%,5.0
2670,6.9,0.31,0.32,Low,0.024,20.0,166.0,0.99-1.00,Acidic,0.54,9%,6.0
2671,6.9,0.3,0.25,Low,0.041,26.0,124.0,0.99-1.00,Acidic,0.5,9%,
2672,6.5,0.46,0.31,Low,0.027,15.0,14.0,0.99-1.00,Acidic,0.6,11%,7.0
2673,6.5,0.23,0.36,High,0.038,43.0,133.0,0.99-1.00,Acidic,0.41,8%,5.0
2674,6.5,0.23,0.36,High,0.038,43.0,133.0,0.99-1.00,Acidic,0.41,8%,5.0
2675,6.5,0.23,0.36,High,0.038,43.0,133.0,0.99-1.00,Acidic,0.41,8%,5.0
2676,6.6,0.26,0.38,Low,0.17,68.0,201.0,0.99-1.00,Acidic,0.38,9%,6.0
2677,6.7,0.26,0.39,Low,0.171,64.0,200.0,0.99-1.00,Acidic,0.38,9%,6.0
2678,7.5,0.28,0.39,,0.045,59.0,209.0,0.99-1.00,Acidic,0.63,9%,6.0
2679,6.5,0.23,0.36,High,0.038,43.0,133.0,0.99-1.00,Acidic,0.41,8%,5.0
2680,6.8,0.23,0.42,Moderate,0.044,56.0,189.0,0.99-1.00,Acidic,0.48,9%,6.0
2681,7.8,0.25,0.34,High,0.044,66.0,184.0,0.99-1.00,Acidic,0.75,8%,5.0
2682,7.8,0.25,0.34,High,0.044,66.0,184.0,0.99-1.00,Acidic,0.75,8%,5.0
2683,5.6,0.2,0.22,Low,0.049,25.0,155.0,0.99-1.00,Acidic,0.43,10%,5.0
2684,6.4,0.21,0.44,Moderate,0.045,47.0,182.0,0.99-1.00,Acidic,0.46,9%,5.0
2685,6.8,0.23,0.42,Moderate,0.044,56.0,189.0,0.99-1.00,Acidic,0.48,9%,6.0
2686,6.8,0.24,0.37,Moderate,0.043,59.0,188.0,0.99-1.00,Acidic,0.5,9%,6.0
2687,7.8,0.25,0.28,Moderate,0.04,46.0,179.0,0.99-1.00,Acidic,0.6,10%,6.0
2688,7.8,0.25,0.34,High,0.044,66.0,184.0,0.99-1.00,Acidic,0.75,8%,
2689,6.8,0.16,0.29,Moderate,0.046,59.0,143.0,0.99-1.00,Acidic,0.4,10%,6.0
2690,5.2,0.28,0.29,Low,0.028,18.0,69.0,0.99-1.00,Acidic,0.54,10%,6.0
2691,7.5,0.18,0.31,Low,0.029,53.0,160.0,0.99-1.00,Acidic,0.38,10%,6.0
2692,7.5,0.26,0.3,Low,0.027,29.0,92.0,0.99-1.00,Acidic,0.38,12%,7.0
2693,8.2,0.37,0.64,High,0.043,22.0,171.0,0.99-1.00,Highly Acidic,0.8,9%,5.0
2694,7.6,0.4,0.27,Low,0.03,32.0,101.0,0.99-1.00,Acidic,0.62,12%,7.0
2695,7.5,0.26,0.25,Low,0.038,29.0,129.0,0.99-1.00,Acidic,0.56,10%,6.0
2696,7.5,0.18,0.31,Low,0.029,53.0,160.0,0.99-1.00,Acidic,0.38,10%,6.0
2697,6.9,0.23,0.32,,0.044,62.0,153.0,0.99-1.00,Acidic,0.42,10%,5.0
2698,5.3,0.2,0.31,Low,0.036,22.0,91.0,0.99-1.00,Acidic,0.5,9%,6.0
2699,6.5,0.17,0.31,Low,0.041,33.3,121.0,0.99-1.00,Acidic,0.46,10%,6.0
2700,6.5,0.35,0.28,Moderate,0.051,86.0,213.0,0.99-1.00,Acidic,0.51,9%,6.0
2701,6.5,0.29,0.31,Low,0.035,24.0,79.0,0.99-1.00,Acidic,0.69,11%,7.0
2702,6.8,0.3,0.22,Low,0.06,41.0,190.0,0.99-1.00,Acidic,0.51,9%,5.0
2703,7.9,0.51,0.36,Low,0.051,30.0,173.0,0.99-1.00,Acidic,0.53,9%,5.0
2704,7.9,0.51,0.34,Low,0.049,13.0,135.0,0.99-1.00,Acidic,0.51,10%,
2705,6.5,0.29,0.31,Low,0.035,24.0,79.0,0.99-1.00,Acidic,0.69,11%,7.0
2706,7.1,0.29,0.28,Moderate,0.048,50.0,141.0,0.99-1.00,Acidic,0.49,10%,6.0
2707,6.5,0.35,0.28,Moderate,0.051,86.0,213.0,0.99-1.00,Acidic,0.51,9%,6.0
2708,6.5,0.17,0.31,Low,0.041,34.0,121.0,0.99-1.00,Neutral,0.46,10%,6.0
2709,7.4,0.2,0.28,Moderate,0.047,29.0,95.0,0.99-1.00,Acidic,0.47,9%,7.0
2710,6.9,0.615,0.42,Moderate,0.067,24.0,131.0,0.99-1.00,Acidic,0.34,9%,5.0
2711,6.8,0.32,0.28,Low,0.034,25.0,100.0,0.99-1.00,Acidic,0.47,12%,
2712,6.3,0.2,0.19,Moderate,0.048,54.0,145.0,0.99-1.00,Acidic,0.42,9%,6.0
2713,6.9,0.615,0.42,Moderate,0.067,24.0,131.0,0.99-1.00,Acidic,0.34,9%,5.0
2714,8.0,0.23,0.28,Low,0.048,49.0,165.0,0.99-1.00,Acidic,0.72,9%,6.0
2715,6.7,0.27,0.33,Low,0.034,9.0,45.0,0.99-1.00,Acidic,0.4,10%,6.0
2716,6.7,0.27,0.33,Low,0.034,9.0,45.0,0.99-1.00,Acidic,0.4,10%,6.0
2717,6.7,0.44,0.22,Low,0.032,19.0,99.0,0.99-1.00,Acidic,0.53,12%,7.0
2718,7.0,0.34,0.3,Low,0.045,44.0,142.0,0.99-1.00,Highly Acidic,0.45,10%,6.0
2719,7.3,0.26,0.33,Moderate,0.057,48.0,127.0,0.99-1.00,Acidic,0.55,10%,6.0
2720,5.8,0.17,0.34,Low,0.045,96.0,177.9,0.99-1.00,Acidic,0.9,11%,8.0
2721,7.3,0.26,0.33,Moderate,0.057,48.0,127.0,0.99-1.00,Acidic,0.55,10%,6.0
2722,5.8,0.17,0.34,Low,0.045,96.0,170.0,0.99-1.00,Acidic,0.9,11%,8.0
2723,6.8,0.17,0.36,Low,0.036,38.0,108.0,0.99-1.00,Acidic,0.66,12%,6.0
2724,7.1,0.43,0.3,Low,0.025,14.9,138.0,0.99-1.00,Acidic,0.46,12%,6.0
2725,5.8,0.315,0.27,Low,0.026,15.0,70.0,<0.99,Acidic,0.4,11%,8.0
2726,5.9,0.17,0.28,Low,0.027,5.0,28.0,<0.99,Acidic,0.32,10%,5.0
2727,6.6,0.34,0.18,Low,0.082,47.0,240.0,0.99-1.00,Acidic,0.48,9%,5.0
2728,8.6,0.33,0.34,Moderate,0.059,42.0,240.0,0.99-1.00,Acidic,0.52,10%,6.0
2729,5.6,0.12,0.26,Low,0.038,18.0,97.0,0.99-1.00,Acidic,0.46,9%,5.0
2730,5.8,0.13,0.26,Low,0.039,19.0,103.0,0.99-1.00,Acidic,0.47,9%,6.0
2731,7.7,0.18,0.35,Low,0.055,25.0,144.0,0.99-1.00,Acidic,0.54,10%,6.0
2732,7.7,0.16,0.36,Low,0.054,25.0,148.0,0.99-1.00,Acidic,0.54,10%,6.0
2733,6.0,0.26,0.15,Low,0.06,51.0,154.0,0.99-1.00,Acidic,0.51,8%,5.0
2734,7.3,0.32,0.35,Low,0.05,8.0,163.0,0.99-1.00,Acidic,0.42,10%,5.0
2735,7.7,0.3,0.34,Low,0.049,4.0,119.0,0.99-1.00,Acidic,0.34,12%,6.0
2736,7.9,0.16,0.3,Moderate,0.05,58.0,152.0,0.99-1.00,Acidic,0.37,9%,6.0
2737,6.4,0.27,0.29,Moderate,0.028,17.0,118.0,0.99-1.00,Acidic,0.37,11%,6.0
2738,7.9,0.16,0.3,Moderate,0.05,58.0,152.0,0.99-1.00,Acidic,0.37,9%,6.0
2739,7.7,0.3,0.34,Low,0.048,4.0,119.0,0.99-1.00,Acidic,0.34,12%,6.0
2740,7.3,0.32,0.35,Low,0.05,8.0,163.0,0.99-1.00,Acidic,0.42,10%,5.0
2741,6.4,0.44,0.44,High,0.048,29.0,228.0,0.99-1.00,Acidic,0.54,8%,7.0
2742,6.3,0.2,0.24,Low,0.052,36.6,135.0,0.99-1.00,Acidic,0.66,10%,
2743,6.2,0.29,0.32,Low,0.026,39.0,138.0,<0.99,Acidic,0.37,13%,7.0
2744,7.6,0.39,0.32,Low,0.035,22.0,97.3,0.99-1.00,Acidic,0.6,12%,7.0
2745,7.0,0.36,0.32,Moderate,0.045,37.0,131.0,0.99-1.00,Acidic,0.33,11%,8.0
2746,7.0,0.36,0.32,,0.045,37.0,131.0,0.99-1.00,Acidic,0.33,11%,8.0
2747,7.0,0.36,0.32,Moderate,0.045,35.0,135.0,0.99-1.00,Acidic,0.33,11%,8.0
2748,7.6,0.2,0.36,Low,0.043,24.0,111.0,0.99-1.00,Acidic,0.54,11%,6.0
2749,7.6,0.39,0.32,Low,0.035,22.0,93.0,0.99-1.00,Acidic,0.6,12%,7.0
2750,6.7,0.2,0.37,Low,0.025,42.0,103.0,0.99-1.00,Acidic,0.45,11%,5.0
2751,6.2,0.235,0.34,Low,0.036,4.0,117.0,0.99-1.00,Acidic,0.44,12%,5.0
2752,7.8,0.965,0.6,High,0.077,8.0,160.0,>1.00,Acidic,0.69,11%,6.0
2753,7.1,0.2,0.31,Low,0.053,32.0,211.0,0.99-1.00,Acidic,0.59,10%,6.0
2754,7.1,0.2,0.31,Moderate,0.053,32.0,211.0,0.99-1.00,Acidic,0.59,10%,6.0
2755,7.1,0.2,0.31,Moderate,0.053,32.0,211.0,0.99-1.00,Acidic,0.59,10%,6.0
2756,6.4,0.24,0.25,High,0.083,35.0,157.0,0.99-1.00,Acidic,0.5,9%,5.0
2757,8.0,0.3,0.36,Moderate,0.034,8.0,69.2,0.99-1.00,Acidic,0.41,12%,6.0
2758,6.4,0.24,0.25,High,0.083,35.0,161.1,0.99-1.00,Acidic,0.5,9%,5.0
2759,6.9,0.4,0.42,Low,0.066,41.0,176.0,0.99-1.00,Acidic,0.54,9%,5.0
2760,6.9,0.4,0.43,Low,0.065,42.0,178.0,0.99-1.00,Acidic,0.53,9%,5.0
2761,7.1,0.2,0.31,Low,0.053,32.0,211.0,0.99-1.00,Acidic,0.59,10%,6.0
2762,6.6,0.25,0.51,Moderate,0.047,61.0,189.0,0.99-1.00,Acidic,0.49,9%,5.0
2763,6.8,0.26,0.44,Moderate,0.046,52.0,183.0,0.99-1.00,Acidic,0.51,9%,
2764,6.5,0.37,0.3,Low,0.033,39.0,107.0,<0.99,Acidic,0.53,13%,7.0
2765,6.8,0.35,0.53,Moderate,0.053,37.0,151.0,0.99-1.00,Acidic,0.4,9%,5.0
2766,6.4,0.22,0.32,Moderate,0.027,15.0,79.9,0.99-1.00,Acidic,0.55,10%,8.0
2767,6.5,0.37,0.3,Low,0.033,39.0,107.0,<0.99,Acidic,0.53,13%,7.0
2768,6.8,0.35,0.53,Moderate,0.053,37.0,151.0,0.99-1.00,Acidic,0.4,9%,5.0
2769,6.9,0.31,0.32,Low,0.036,34.0,114.0,0.99-1.00,Acidic,0.45,11%,7.0
2770,6.7,0.16,0.37,Low,0.036,45.0,125.0,<0.99,Acidic,0.51,12%,7.0
2771,6.6,0.25,0.51,Moderate,0.047,61.0,60.0,0.99-1.00,Acidic,0.49,9%,5.0
2772,6.8,0.26,0.44,Moderate,0.046,52.0,183.0,0.99-1.00,Acidic,0.51,9%,5.0
2773,5.6,0.15,0.31,Low,0.038,8.0,79.0,0.99-1.00,Acidic,0.39,10%,6.0
2774,5.5,0.15,0.32,High,0.031,16.0,99.0,0.99-1.00,Acidic,0.38,11%,8.0
2775,6.4,0.22,0.32,Moderate,0.028,15.0,83.0,0.99-1.00,Acidic,0.55,10%,8.0
2776,7.3,0.2,0.26,Low,0.04,36.0,123.0,0.99-1.00,Acidic,0.44,10%,6.0
2777,7.5,0.17,0.71,Moderate,0.038,52.0,148.0,0.99-1.00,Acidic,0.46,8%,5.0
2778,7.5,0.18,0.72,Moderate,0.039,53.0,151.0,0.99-1.00,Acidic,0.46,8%,5.0
2779,7.0,0.27,0.48,Low,0.042,60.0,184.0,0.99-1.00,Acidic,0.5,9%,6.0
2780,5.8,0.32,0.31,Low,0.049,25.0,154.2,0.99-1.00,Acidic,0.73,12%,7.0
2781,7.8,0.26,0.31,Low,0.025,22.0,100.0,0.99-1.00,Highly Acidic,0.47,12%,7.0
2782,7.4,0.3,0.32,Low,0.03,23.0,128.0,0.99-1.00,Acidic,0.66,10%,5.0
2783,6.7,0.16,0.34,Low,0.026,27.0,109.0,0.99-1.00,Acidic,0.58,10%,6.0
2784,5.8,0.32,0.31,Low,0.049,25.0,153.0,0.99-1.00,Acidic,0.73,12%,7.0
2785,6.7,0.19,0.39,Low,0.032,14.0,71.0,<0.99,Acidic,0.38,13%,7.0
2786,6.6,0.36,0.24,Low,0.038,15.0,72.0,0.99-1.00,Acidic,0.39,11%,5.0
2787,7.2,0.17,0.41,Low,0.052,24.0,119.8,0.99-1.00,Acidic,0.49,10%,5.0
2788,6.7,0.19,0.39,Low,0.032,14.0,71.0,<0.99,Acidic,0.38,13%,7.0
2789,6.0,0.11,0.47,Moderate,0.052,69.0,148.0,0.99-1.00,Highly Acidic,0.34,9%,4.0
2790,6.7,0.325,0.82,Low,0.152,49.0,120.0,0.99-1.00,Highly Acidic,0.38,9%,5.0
